2025-08-25 14:13:21 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:13:26 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:13:26 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:13:34 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:13:39 | INFO | postgres_crawler:get_accurate_answer_count:1709 | ViewAll卡片回答数: 0
2025-08-25 14:13:39 | INFO | postgres_crawler:get_accurate_answer_count:1715 | 主回答数: 0
2025-08-25 14:13:39 | INFO | postgres_crawler:get_accurate_answer_count:1721 | MoreAnswers中的回答数: 0
2025-08-25 14:13:39 | INFO | postgres_crawler:get_accurate_answer_count:1723 | 总回答数统计: ViewAll(0) + AnswerCard(0) + MoreAnswers(0) = 0
2025-08-25 14:13:50 | INFO | postgres_crawler:get_accurate_answer_count:1709 | ViewAll卡片回答数: 0
2025-08-25 14:13:50 | INFO | postgres_crawler:get_accurate_answer_count:1715 | 主回答数: 0
2025-08-25 14:13:50 | INFO | postgres_crawler:get_accurate_answer_count:1721 | MoreAnswers中的回答数: 0
2025-08-25 14:13:50 | INFO | postgres_crawler:get_accurate_answer_count:1723 | 总回答数统计: ViewAll(0) + AnswerCard(0) + MoreAnswers(0) = 0
2025-08-25 14:14:03 | INFO | postgres_crawler:get_accurate_answer_count:1709 | ViewAll卡片回答数: 0
2025-08-25 14:14:03 | INFO | postgres_crawler:get_accurate_answer_count:1715 | 主回答数: 0
2025-08-25 14:14:03 | INFO | postgres_crawler:get_accurate_answer_count:1721 | MoreAnswers中的回答数: 0
2025-08-25 14:14:03 | INFO | postgres_crawler:get_accurate_answer_count:1723 | 总回答数统计: ViewAll(0) + AnswerCard(0) + MoreAnswers(0) = 0
2025-08-25 14:14:33 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:14:34 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:14:34 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:14:41 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:14:48 | INFO | postgres_crawler:get_accurate_answer_count:1709 | ViewAll卡片回答数: 0
2025-08-25 14:14:48 | INFO | postgres_crawler:get_accurate_answer_count:1715 | 主回答数: 0
2025-08-25 14:14:48 | INFO | postgres_crawler:get_accurate_answer_count:1721 | MoreAnswers中的回答数: 0
2025-08-25 14:14:48 | INFO | postgres_crawler:get_accurate_answer_count:1723 | 总回答数统计: ViewAll(0) + AnswerCard(0) + MoreAnswers(0) = 0
2025-08-25 14:15:13 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:15:14 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:15:14 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:15:22 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:17:32 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:17:33 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:17:33 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:17:40 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:17:45 | INFO | postgres_crawler:get_accurate_answer_count:1692 | ContentItem AnswerItem数量: 5
2025-08-25 14:17:45 | INFO | postgres_crawler:get_accurate_answer_count:1697 | List-item数量: 5
2025-08-25 14:17:45 | INFO | postgres_crawler:get_accurate_answer_count:1718 | data-za-extra-module中的最大item_num: 0
2025-08-25 14:17:45 | INFO | postgres_crawler:get_accurate_answer_count:1724 | 使用ContentItem AnswerItem计数: 5
2025-08-25 14:17:45 | INFO | postgres_crawler:get_accurate_answer_count:1748 | 最终统计的回答数量: 5
2025-08-25 14:18:21 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:18:22 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:18:22 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:18:30 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:18:30 | INFO | postgres_crawler:crawl_question_detail:924 | 开始爬取问题详情 (尝试 1/3): https://www.zhihu.com/question/25038841
2025-08-25 14:18:36 | INFO | postgres_crawler:get_accurate_answer_count:1692 | ContentItem AnswerItem数量: 5
2025-08-25 14:18:36 | INFO | postgres_crawler:get_accurate_answer_count:1697 | List-item数量: 5
2025-08-25 14:18:36 | INFO | postgres_crawler:get_accurate_answer_count:1718 | data-za-extra-module中的最大item_num: 0
2025-08-25 14:18:36 | INFO | postgres_crawler:get_accurate_answer_count:1724 | 使用ContentItem AnswerItem计数: 5
2025-08-25 14:18:36 | INFO | postgres_crawler:get_accurate_answer_count:1748 | 最终统计的回答数量: 5
2025-08-25 14:18:36 | INFO | postgres_crawler:crawl_question_detail:1025 | 使用新方法获取到答案数: 5
2025-08-25 14:18:36 | INFO | postgres_crawler:crawl_question_detail:1064 | 问题详情已保存并标记为已处理: PHP、Java、Python、C、C++ 这几种编程语言都各有什么特点或优点？...
2025-08-25 14:25:16 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:25:17 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:25:17 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:25:25 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:25:25 | INFO | postgres_crawler:crawl_question_detail:924 | 开始爬取问题详情 (尝试 1/3): https://www.zhihu.com/question/25038841
2025-08-25 14:25:30 | INFO | postgres_crawler:get_accurate_answer_count:1692 | ContentItem AnswerItem数量: 5
2025-08-25 14:25:30 | INFO | postgres_crawler:get_accurate_answer_count:1697 | List-item数量: 5
2025-08-25 14:25:30 | INFO | postgres_crawler:get_accurate_answer_count:1718 | data-za-extra-module中的最大item_num: 0
2025-08-25 14:25:30 | INFO | postgres_crawler:get_accurate_answer_count:1724 | 使用ContentItem AnswerItem计数: 5
2025-08-25 14:25:30 | INFO | postgres_crawler:get_accurate_answer_count:1748 | 最终统计的回答数量: 5
2025-08-25 14:25:30 | INFO | postgres_crawler:crawl_question_detail:1025 | 使用新方法获取到答案数: 5
2025-08-25 14:25:30 | INFO | postgres_crawler:crawl_question_detail:1064 | 问题详情已保存并标记为已处理: PHP、Java、Python、C、C++ 这几种编程语言都各有什么特点或优点？...
2025-08-25 14:36:07 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:36:08 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:36:08 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:36:17 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:37:24 | INFO | postgres_crawler:setup_driver:91 | 使用优化的User-Agent: Safari
2025-08-25 14:37:25 | INFO | postgres_crawler:setup_driver:103 | 反检测脚本执行完成
2025-08-25 14:37:25 | INFO | postgres_crawler:setup_driver:107 | Chrome驱动初始化成功
2025-08-25 14:37:33 | INFO | postgres_crawler:load_cookies:146 | Cookies加载成功
2025-08-25 14:37:36 | INFO | postgres_crawler:get_accurate_answer_count:1692 | ContentItem AnswerItem数量: 3
2025-08-25 14:37:36 | INFO | postgres_crawler:get_accurate_answer_count:1697 | List-item数量: 2
2025-08-25 14:37:36 | INFO | postgres_crawler:get_accurate_answer_count:1712 | 从data-za-extra-module获取到item_num: 10
2025-08-25 14:37:36 | INFO | postgres_crawler:get_accurate_answer_count:1712 | 从data-za-extra-module获取到item_num: 10
